	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
1663	1679	126	有	v	VERB	v	VERB	VV	7	7	1	482	71.2	98.68144033538763	5.787968635559082	9.821822166442873	1	5604.000000000001	0.5	22	5536.999999999999	1	False	False	64.6	6.6	88.10962868305977	24.694938752708016
1664	1680	126	几	m	NUM	m	NUM	CD	8	1	4	69	169.33333333333334	180.2874248403242	2.623528003692627	13.493311882019045	1	956.0	0.5454545454545454	22	5604.000000000001	1	False	False	141.46666666666667	27.866666666666667	130.21616216464412	71.0472769045764
1665	1681	126	个	q	DET	q	DET		9	1	3	99	78.8	110.12066109500068	5.129169464111328	19.37161636352539	1	3297.9999999999995	0.5909090909090909	22	956.0	1	False	False	67.26666666666667	11.533333333333331	104.37079199767636	43.1537818607928
1666	1682	126	兄弟？”	n	NOUN	n	NOUN	NN	10	3	2	22	188.66666666666663	194.3504280645888	11.14466349966824	25.37734407186508	2	89.0	0.6363636363636364	22	3297.9999999999995	1	False	True	133.93333333333334	39.53333333333333	87.38837959871374	86.43214422629788
1667	1683	126	“他	r	PRON	r	PRON	PRP	11	2	3	28	115.53333333333332	90.00878969424164	1.9734059572219849	7.044772505760193	1	5536.999999999999	0.6818181818181818	22	89.0	2	True	False	115.53333333333332	0.0	90.00878969424164	0.0
1668	1684	126	体重	n	NOUN	n	NOUN	NN	12	1	3	680	90.7	117.86797699120824	15.918099164962769	28.63826560974121	2	17.0	0.7272727272727273	22	5536.999999999999	1	False	False	90.7	0.0	117.86797699120824	0.0
1669	1685	126	多少？”	m	NUM	m	NUM	CD	13	6	2	713	206.4	107.12783640741247	6.5592446476221085	24.20861998200417	2	278.0	0.7727272727272727	22	17.0	2	False	True	150.0	56.4	58.68787495442877	83.55820326774227
1670	1686	126	“他	r	PRON	r	PRON	PRP	14	1	5	28	55.66666666666666	84.60312576311168	1.2394074201583862	6.928898274898529	1	5536.999999999999	0.8181818181818182	22	278.0	2	True	False	55.66666666666666	0.0	84.60312576311168	0.0
1671	1687	126	爸爸	n	NOUN	n	NOUN	NN	15	1	4	4	282.3333333333333	187.686499840085	8.613956242799759	20.82103443145752	2	144.0	0.8636363636363636	22	5536.999999999999	1	False	False	167.73333333333332	53.06666666666667	91.84078009734505	75.44222218949339
1672	1688	126	挣	v	VERB	v	VERB	VV	16	3	3	10	120.0	121.67333315069494	14.223033905029297	24.570545196533203	1	16.0	0.9090909090909092	22	144.0	2	False	False	120.0	0.0	121.67333315069494	0.0
1673	1689	126	多少	m	NUM	m	NUM	CD	17	1	5	713	235.06666666666663	231.40079707919955	3.328726965934038	13.541444301605225	2	278.0	0.9545454545454546	22	16.0	1	False	False	108.53333333333332	59.06666666666667	75.9612766846079	101.30841798960022
