	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
2251	325	27	聪明	a	ADJ	a	ADJ	JJ	8	3	3	527	114.57142857142856	122.8324726061094	14.366761848330498	38.25488758087158	2	43.0	0.1578947368421052	19	15.0	2	False	False	94.07142857142856	20.5	84.90369694602256	57.204832463200674
2252	326	27	一点	mq	DET	m	DET		7	2	3	1583	47.785714285714285	92.31636487909276	2.609490007162094	33.06865882873535	2	412.0	0.2105263157894736	19	43.0	2	False	False	47.785714285714285	0.0	92.31636487909276	0.0
2253	327	27	的	u	PART	uj	PART		6	1	3	13	66.78571428571429	94.4413488221496	0.310379147529602	10.06999969482422	1	77946.0	0.2631578947368421	19	412.0	2	False	False	66.78571428571429	0.0	94.4413488221496	0.0
2254	328	27	大人，	n	NOUN	n	NOUN	NN	5	5	2	3040	205.2142857142857	134.170562329888	11.512407541275024	18.097782611846924	2	33.0	0.3157894736842105	19	77946.0	1	False	True	145.14285714285714	46.71428571428572	82.44379656369989	81.37165930946419
2255	329	27	我	r	PRON	r	PRON	PRP	2	2	1	79	12.142857142857142	43.78169405920559	6.234646797180176	10.79881763458252	1	5517.999999999999	0.3684210526315789	19	33.0	2	False	False	12.142857142857142	0.0	43.78169405920559	0.0
2256	330	27	会	vu	AUX	v	AUX		1	1	1	209	168.28571428571428	249.82834923529524	4.050475597381592	25.4052791595459	1	1360.0	0.4210526315789473	19	5517.999999999999	1	False	False	99.21428571428572	33.0	122.0621496097252	89.39399148872208
2257	331	27	拿	v	VERB	v	VERB	VV	0	0	0	54	156.35714285714286	191.47010476940824	8.725454330444336	10.957315444946287	1	272.0	0.4736842105263157	19	1360.0	1	False	False	120.21428571428572	36.142857142857146	137.24596198661968	69.40034699672118
2258	332	27	出	vd	VERB	v	VERB	VV	1	1	1	475	182.6428571428572	156.97434146239004	2.52079439163208	5.530330657958984	1	804.0	0.5263157894736842	19	272.0	1	False	False	127.42857142857144	55.21428571428572	97.92104274488143	90.93810970060004
2259	333	27	一直	d	ADV	d	ADV	RB	2	1	3	1705	552.3571428571429	187.69565302176105	14.359324216842651	15.80985975265503	2	210.0	0.5789473684210527	19	804.0	1	False	False	184.7142857142857	266.57142857142856	75.89506719471166	142.20493978044215
2260	334	27	保存	v	VERB	v	VERB	VV	3	7	2	631	472.1428571428572	361.4330321576791	11.267465114593506	12.627703666687012	2	57.0	0.631578947368421	19	210.0	2	False	False	156.78571428571428	153.78571428571428	111.42722068778384	92.66312147576646
