	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
20	3961	292	星球，	n	NOUN	n	NOUN	NN	17	2	3	377	205.92857142857144	327.6737193101251	2	13.0	星球	117.07142857142856	33.642857142857146	88.19577596438043	99.70643133208408
21	3962	292	和	p	ADP	c	ADP	IN	14	3	3	191	102.0	173.3159789847104	1	8786.0	和	80.07142857142857	21.928571428571427	130.69127432110176	79.0645886833889
22	3963	292	所有	a	ADJ	b	ADJ		13	2	3	553	418.7142857142857	672.9343449795539	2	245.0	所有	116.42857142857144	69.92857142857143	89.33781337126617	114.84117248599992
23	3964	292	其他	r	PRON	r	PRON		12	1	3	102	425.5	426.035503215401	2	436.0	其他	162.42857142857142	93.42857142857144	97.65516172863008	101.03798033110002
24	3965	292	星球	n	NOUN	n	NOUN	NN	11	1	2	377	311.42857142857144	331.1884906311368	2	13.0	星球	115.0	70.07142857142857	77.46519955991299	81.91237852182074
25	3966	292	一样，	a	ADJ	r	ADJ	JJ	10	10	1	1506	302.85714285714283	365.82506692658	2	552.0	一样	124.71428571428572	78.28571428571429	141.06909582158087	106.0609181901936
26	3967	292	有	v	VERB	v	VERB	VV	7	7	1	482	78.21428571428571	141.16210467373446	1	5604.000000000001	有	57.85714285714285	20.357142857142858	101.08331580777254	73.39872239337409
27	3968	292	好	a	ADJ	a	ADJ		6	2	3	253	132.57142857142858	212.66160721595577	1	1325.0	好	86.5	27.428571428571427	118.79859907783906	68.20003590878224
28	3969	292	的	u	PART	uj	PART		5	1	3	13	145.28571428571428	170.3527552594609	1	77946.0	的	145.28571428571428	0.0	170.3527552594609	0.0
29	3970	292	植物，	n	NOUN	n	NOUN	NN	4	3	2	228	82.71428571428571	99.73065768174123	2	212.0	植物	75.21428571428571	7.5	83.47555550786673	27.04163456597992
30	3971	292	也	d	ADV	d	ADV	RB	1	1	1	10	74.35714285714286	99.94756278230324	1	5013.0	也	64.5	9.857142857142858	78.69629688147431	35.54043400100219
31	3972	292	有	v	VERB	v	VERB	VV	0	0	0	482	43.21428571428572	70.78456104005062	1	5604.000000000001	有	43.21428571428572	0.0	70.78456104005062	0.0
32	3973	292	不	d	ADV	d	ADV	RB	1	1	3	1105	0.0	0.0	1	4915.0	不	0.0	0.0	0.0	0.0
33	3974	292	好	a	ADJ	a	ADJ		2	2	2	253	76.14285714285714	107.78076766079846	1	1325.0	好	76.14285714285714	0.0	107.78076766079846	0.0
34	3975	292	的	u	PART	uj	PART		3	1	3	13	55.142857142857146	119.8998731935807	1	77946.0	的	55.142857142857146	0.0	119.8998731935807	0.0
35	3976	292	植物。	n	NOUN	n	NOUN	NN	4	4	1	228	102.85714285714286	119.00771712243656	2	212.0	植物	102.85714285714286	0.0	119.00771712243656	0.0
36	3977	293	因此，	c	CCONJ	c	CCONJ		5	5	1	159	211.0	206.1570136709257	2	776.0	因此	106.57142857142856	62.92857142857143	107.00114437686725	77.68385039533568
37	3978	293	好	a	ADJ	a	ADJ		2	1	2	253	69.92857142857143	135.71580826213614	1	1325.0	好	51.785714285714285	18.142857142857142	89.2373869210086	65.41500171198952
38	3979	293	种子	n	NOUN	n	NOUN	NN	1	1	1	298	371.7857142857143	286.91043365269155	2	88.00000000000001	种子	163.42857142857142	119.92857142857144	72.53443939232717	120.75031161492728
39	3980	293	长	v	VERB	a	VERB	VV	0	0	0	805	170.71428571428572	255.09870038629268	1	597.0	长	90.64285714285714	41.285714285714285	95.48942136088549	83.55958402022267
40	3981	293	好	a	ADJ	a	ADJ		1	1	2	253	116.35714285714286	136.31403194874125	1	1325.0	好	102.85714285714286	13.5	113.28463339423097	48.67494221876385
41	3982	293	植物，	n	NOUN	n	NOUN	NN	2	2	1	228	170.64285714285714	151.15252804599027	2	212.0	植物	119.5	28.428571428571427	79.08200987401803	54.90864397955452
42	3983	293	坏	a	ADJ	a	ADJ		3	1	3	26	96.92857142857144	170.92164632858373	1	82.0	坏	96.92857142857144	0.0	170.92164632858373	0.0
43	3984	293	种子	n	NOUN	n	NOUN	NN	4	1	2	298	312.7142857142857	277.1741145848912	2	88.00000000000001	种子	209.2142857142857	65.64285714285714	164.3889892782311	89.86784514962365
44	3985	293	长	v	VERB	a	VERB	VV	5	5	1	805	251.57142857142856	380.5273998555378	1	597.0	长	141.07142857142858	67.07142857142857	244.08735681124912	186.4949115681613
45	3986	293	坏	a	ADJ	a	ADJ		6	1	3	26	120.64285714285714	231.13527490654133	1	82.0	坏	97.28571428571428	23.357142857142858	153.60590975025698	84.21537621976604
46	3987	293	植物。​	n	NOUN	n	NOUN	NN	7	2	2	228	83.42857142857143	136.8527437408098	2	212.0	植物	83.42857142857143	0.0	136.8527437408098	0.0
47	3988	294	但是，	c	CCONJ	c	CCONJ		4	4	1	37	293.35714285714283	166.58057130017858	2	803.0	但是	170.28571428571428	98.71428571428572	94.0276772106631	94.18251928450157
48	3989	294	种子	n	NOUN	n	NOUN	NN	1	1	1	298	188.1428571428572	155.81438460225547	2	88.00000000000001	种子	143.21428571428572	44.92857142857143	85.71229164347147	92.525258548073
49	3990	294	是	vl	VERB	v	VERB		0	0	0	29	123.21428571428572	152.20671027606247	1	12403.0	是	96.5	26.714285714285715	113.48552456465224	67.51658904238548
50	3991	294	看	v	VERB	v	VERB	VV	1	1	1	118	169.71428571428572	138.04162341815012	1	1439.9999999999998	看	131.85714285714286	37.85714285714285	99.4864363639997	63.30183606325801
51	3992	294	不	d	ADV	d	ADV	RB	2	1	3	1105	82.21428571428571	98.24108725217673	1	4915.0	不	60.642857142857146	21.571428571428573	81.24795130855138	57.95652839563003
52	3993	294	见	v	VERB	v	VERB	VV	3	2	2	134	59.35714285714285	128.59716012352968	1	505.0	见	59.35714285714285	0.0	128.59716012352968	0.0
53	3994	294	的。	u	PART	uj	PART		4	4	1	13	54.07142857142857	98.0302171240468	1	77946.0	的	46.785714285714285	7.285714285714286	78.13100589159629	26.26901643552335
54	3995	295	它们	r	PRON	r	PRON		9	9	1	4	75.78571428571429	105.9610296095615	2	589.9999999999999	它们	75.78571428571429	0.0	105.9610296095615	0.0
55	3996	295	秘密地	n	NOUN	-	ADV		8	1	2	720	342.42857142857144	216.13544506222223	3	0.0	秘密地	176.85714285714286	115.92857142857144	95.9008842077941	101.4807964139833
56	3997	295	睡	v	VERB	v	VERB	VV	7	7	1	33	105.57142857142856	153.6153425585731	1	116.0	睡	91.85714285714286	13.714285714285714	135.668112446123	49.44756034922042
57	3998	295	在	p	ADP	p	ADP		6	1	3	175	73.57142857142857	99.68501412356989	1	12434.0	在	73.57142857142857	0.0	99.68501412356989	0.0
58	3999	295	土壤	n	NOUN	n	NOUN	NN	5	2	2	297	94.85714285714286	123.75428254803786	2	110.0	土壤	89.35714285714286	5.5	108.48410492052815	19.83053201505194
59	4000	295	里，	nd	NOUN	f	NOUN		4	1	3	334	99.5	127.86250986341317	1	1968.0	里	89.5	10.0	102.75612599048014	36.05551275463989
60	4001	295	直到	v	VERB	v	VERB		1	1	1	277	163.92857142857142	98.37280713527224	2	111.0	直到	123.07142857142856	40.85714285714285	69.30724996679052	69.16012181148606
61	4002	295	有	v	VERB	v	VERB	VV	0	0	0	482	44.92857142857143	78.41507169790611	1	5604.000000000001	有	31.5	13.428571428571429	62.223961852098654	48.417402841945005
62	4003	295	一	m	NUM	m	NUM	CD	1	1	2	1473	21.642857142857142	67.25602165590523	1	8489.0	一	21.642857142857142	0.0	67.25602165590523	0.0
63	4004	295	天，	nt	NOUN	q	NOUN	NNB	2	2	1	1089	51.71428571428572	100.38385511299582	1	670.0	天	44.35714285714285	7.357142857142857	86.57416898067157	26.52655581234221
64	4005	295	某	r	PRON	r	PRON		3	3	3	28	115.5	130.49616852612954	1	219.0	某	115.5	0.0	130.49616852612954	0.0
65	4006	295	一	m	NUM	m	NUM	CD	4	2	3	1473	49.285714285714285	75.98818382901814	1	8489.0	一	49.285714285714285	0.0	75.98818382901814	0.0
66	4007	295	颗	q	DET	m	DET		5	1	3	8	113.71428571428572	213.4065297472772	1	104.0	颗	81.92857142857143	14.785714285714286	141.67087828873667	53.31065100150326
67	4008	295	种子	n	NOUN	n	NOUN	NN	6	2	2	298	324.85714285714283	257.5596621985608	2	88.00000000000001	种子	155.64285714285714	115.78571428571428	102.84635360079416	139.52889028616903
