	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
633	640	53	是	vl	VERB	v	VERB		4	4	1	29	108.6	135.28823550725565	1	12403.0	是	77.46666666666667	21.866666666666667	87.18781770153188	56.32508815399719
634	641	53	在	p	ADP	p	ADP	IN	5	1	4	175	134.26666666666668	123.40311539377312	1	12434.0	在	129.6	4.666666666666667	119.1681165412964	17.461067804945053
635	642	53	荒无人烟	i	ADJ	i	ADJ		6	2	3	1913	241.8	187.70018646767508	4	0.0	荒无人烟	147.0	62.6	78.52812659593164	70.45830918588193
636	644	53	的	u	PART	uj	PART		7	1	3	13	12.2	45.64822011864209	1	77946.0	的	12.2	0.0	45.64822011864209	0.0
637	645	53	地方。	n	NOUN	n	NOUN	NN	8	4	2	824	231.3333333333333	101.4420469474512	2	531.9999999999999	地方	188.2	43.13333333333333	77.48651495582958	72.5744368830299
638	646	54	但	c	CCONJ	c	CCONJ		19	19	1	8	97.46666666666668	142.5738950704355	1	1670.0	但	75.73333333333333	21.73333333333333	107.5003669244384	55.554737771758845
639	647	54	这	r	PRON	r	PRON	PRD	18	2	2	60	122.26666666666668	185.3743839429337	1	6817.0	这	76.46666666666667	28.33333333333333	94.24497628815848	59.572551472040296
640	648	54	个	q	DET	q	DET		17	1	2	99	168.53333333333333	172.34765897904026	1	3297.9999999999995	个	125.46666666666668	26.2	115.54616201136044	68.41461832094075
641	649	54	小人儿，	n	NOUN	nr	NOUN		16	16	1	2178	298.6	183.5312144205085	3	0.0	小人儿	165.06666666666666	77.46666666666667	80.03038311930177	82.17206878793358
642	650	54	既	c	CCONJ	c	CCONJ	CC	13	2	2	17	89.33333333333333	140.97265298237417	1	346.0	既	85.66666666666667	3.6666666666666665	135.23789738416113	13.719410418171115
643	651	54	不	d	ADV	d	ADV	RB	12	1	2	1105	220.9333333333333	210.27901041764065	1	4915.0	不	180.06666666666666	40.86666666666667	153.96729811518057	84.0625692895212
644	652	54	像	v	VERB	v	VERB	VV	11	11	1	21	197.9333333333333	140.27566511060363	1	325.0	像	165.6	32.333333333333336	111.91413375143163	84.55189070755438
645	653	54	迷	v	VERB	v	VERB		10	1	2	85	167.26666666666668	171.2851294057822	1	25.0	迷	112.53333333333332	54.73333333333333	105.70768919787982	104.38165015408066
646	654	54	了	u	PART	ul	PART	AS	9	1	3	27	94.73333333333332	162.16019514322525	1	13624.0	了	71.26666666666667	23.466666666666665	149.88950003993682	61.49999096657567
647	655	54	路，	n	NOUN	n	NOUN	NN	8	2	3	189	105.73333333333332	160.04852042080515	1	192.0	路	65.0	40.73333333333333	94.2266770435351	81.65820364312592
648	656	54	也	d	ADV	d	ADV	RB	5	5	1	10	33.06666666666667	66.24647579724945	1	5013.0	也	33.06666666666667	0.0	66.24647579724945	0.0
649	657	54	没有	d	ADV	v	ADV		4	4	1	597	214.26666666666668	158.46365163307607	2	1983.0	没有	156.2	49.06666666666667	108.57267919079214	83.95750247727848
650	658	54	饿	a	ADJ	v	ADJ		3	3	1	19	131.8	122.58776447916814	1	37.00000000000001	饿	131.8	0.0	122.58776447916814	0.0
651	659	54	得	u	AUX	ud	AUX		2	2	1	148	77.53333333333333	102.86357740014468	1	1957.0	得	62.6	14.933333333333334	84.37045296389805	55.87541697582419
652	660	54	要	vu	AUX	v	AUX		1	1	1	71	16.8	43.27924829907902	1	3039.0	要	16.8	0.0	43.27924829907902	0.0
653	661	54	死、	v	VERB	v	VERB	VV	0	0	0	165	55.86666666666667	85.43369098637584	1	271.0	死	48.6	7.266666666666667	74.40770569414614	27.1893770105573
654	662	54	渴	a	ADJ	a	ADJ		1	1	1	12	96.53333333333332	120.87120785732591	1	11.000000000000002	渴	96.53333333333332	0.0	120.87120785732591	0.0
655	663	54	得	u	AUX	ud	AUX		2	1	2	148	125.66666666666669	163.82660209976754	1	1957.0	得	109.66666666666669	16.0	121.355492482028	54.02345169769637
656	664	54	要	vu	AUX	v	AUX		3	3	1	71	147.6	127.23196663312774	1	3039.0	要	121.6	26.0	91.65136842040783	68.03822455061567
657	665	54	命、	n	NOUN	n	NOUN		4	1	2	55	46.2	102.62306433416094	1	59.0	命	34.733333333333334	11.466666666666669	70.00425383900291	42.90433803500787
658	666	54	怕	v	VERB	v	VERB		5	5	1	15	56.93333333333333	136.0237560951109	1	186.0	怕	38.66666666666666	18.266666666666666	79.32857128564854	68.34760826507066
659	667	54	得	u	AUX	ud	AUX		6	1	3	148	38.66666666666666	78.50491845879608	1	1957.0	得	38.66666666666666	0.0	78.50491845879608	0.0
660	668	54	发抖	v	VERB	v	VERB	VV	7	2	2	582	338.7333333333333	247.48965410475017	2	11.999999999999998	发抖	172.93333333333334	110.26666666666668	111.10683547329072	106.21956296066914
661	669	54	的	u	PART	uj	PART		8	1	3	13	166.13333333333333	191.5348068164693	1	77946.0	的	101.53333333333332	55.13333333333333	108.9066062683476	94.44848095949216
662	670	54	样子。	n	NOUN	n	NOUN	NN	9	9	1	240	168.66666666666666	199.0841251553948	2	112.0	样子	96.6	52.53333333333333	102.90759609150984	78.03406663474328
663	671	55	他	r	PRON	r	PRON	PRP	15	15	1	28	110.8	197.96235332338657	1	5536.999999999999	他	53.73333333333333	35.266666666666666	96.7791070198292	92.58687211958772
664	672	55	的	u	PART	uj	PART		14	1	2	13	127.4	147.4023066305273	1	77946.0	的	127.4	0.0	147.4023066305273	0.0
665	673	55	表情，	n	NOUN	n	NOUN	NN	13	13	1	331	401.0	353.23835201366984	2	47.00000000000001	表情	181.6	126.53333333333332	86.26455432756454	109.2067559977658
666	674	55	一点	mq	DET	m	DET		10	10	1	1583	138.66666666666666	189.35915316902137	2	412.0	一点	81.46666666666667	44.86666666666667	89.78334416187052	92.73393242078232
667	675	55	也	d	ADV	d	ADV	RB	9	2	2	10	135.86666666666667	137.87379091844187	1	5013.0	也	112.13333333333334	23.73333333333333	113.25538495904829	65.54435309179749
668	676	55	不	d	ADV	d	ADV	RB	8	1	2	1105	119.6	151.0385381285187	1	4915.0	不	80.6	20.0	87.03164175555156	50.99150256006713
669	677	55	像	v	VERB	v	VERB	VV	7	7	1	21	19.0	48.65524980239371	1	325.0	像	19.0	0.0	48.65524980239371	0.0
670	678	55	在	p	ADP	p	ADP	IN	6	4	3	175	11.066666666666666	41.40767508029828	1	12434.0	在	11.066666666666666	0.0	41.40767508029828	0.0
671	679	55	荒无人烟	i	ADJ	i	ADJ		5	3	3	1913	343.4	159.7288535821461	4	0.0	荒无人烟	225.46666666666667	85.8	60.963231177124754	120.93149575965172
672	680	55	的	u	PART	uj	PART		4	2	3	13	50.266666666666666	81.77079076432013	1	77946.0	的	50.266666666666666	0.0	81.77079076432013	0.0
673	681	55	大	a	ADJ	a	ADJ		3	1	3	2294	103.53333333333332	234.05351714701683	1	2188.0	大	60.333333333333336	24.266666666666666	103.0771016709768	90.7975525857143
674	682	55	沙漠	n	NOUN	n	NOUN	NN	2	5	2	502	211.0	171.2464111546088	2	31.0	沙漠	134.26666666666668	76.73333333333333	88.32852817119104	119.46908479695584
675	683	55	里	nd	NOUN	f	NOUN	NN	1	1	3	334	134.0	183.69068203549867	1	1968.0	里	83.93333333333334	40.06666666666667	128.37573325550625	103.67414764004036
676	684	55	迷	v	VERB	v	VERB		0	0	0	85	103.13333333333334	283.8135225029906	1	25.0	迷	47.73333333333333	13.2	92.31862698767182	49.38987750541602
677	685	55	了	u	PART	ul	PART	AS	1	1	1	27	190.9333333333333	240.4031244019557	1	13624.0	了	136.8	32.53333333333333	135.88338137290128	82.97298087664174
