	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
21	3978	292	和	p	ADP	c	ADP	IN	14	3	3	191	44.46666666666667	96.70426854878517	1	8786.0	和	28.266666666666666	16.2	48.79954462446914	60.61484966573786
22	3979	292	所有	a	ADJ	b	ADJ		13	2	3	553	267.8666666666667	169.38550377434572	2	245.0	所有	170.93333333333334	76.8	115.3929325777315	95.17646767977892
23	3980	292	其他	r	PRON	r	PRON		12	1	3	102	121.53333333333332	187.08210912739776	2	436.0	其他	110.2	11.333333333333334	170.59706914246797	42.40545038343801
24	3981	292	星球	n	NOUN	n	NOUN	NN	11	1	2	377	166.73333333333332	195.7884799698105	2	13.0	星球	125.6	12.666666666666666	95.39937106710924	47.39432689913659
25	3982	292	一样，	a	ADJ	r	ADJ	JJ	10	10	1	1506	146.86666666666667	208.5684113719578	2	552.0	一样	69.33333333333333	61.4	76.250173041698	131.2746738712384
26	3983	292	有	v	VERB	v	VERB	VV	7	7	1	482	49.4	95.93039143045335	1	5604.000000000001	有	47.266666666666666	2.1333333333333333	93.8015399068101	7.982202425117743
27	3984	292	好	a	ADJ	a	ADJ		6	2	3	253	108.8	130.45520303920424	1	1325.0	好	108.8	0.0	130.45520303920424	0.0
28	3985	292	的	u	PART	uj	PART		5	1	3	13	101.33333333333331	123.835195140782	1	77946.0	的	82.46666666666667	18.866666666666667	89.29641027997087	51.13233375815694
29	3986	292	植物，	n	NOUN	n	NOUN	NN	4	3	2	228	240.7333333333333	249.2154266671485	2	212.0	植物	150.73333333333332	64.0	124.15606666163714	100.56175548719636
30	3987	292	也	d	ADV	d	ADV	RB	1	1	1	10	73.53333333333333	80.53807933035294	1	5013.0	也	73.53333333333333	0.0	80.53807933035294	0.0
31	3988	292	有	v	VERB	v	VERB	VV	0	0	0	482	84.73333333333333	167.43056935803435	1	5604.000000000001	有	52.53333333333333	32.2	97.53622688804174	82.28908392571479
32	3989	292	不	d	ADV	d	ADV	RB	1	1	3	1105	29.53333333333333	75.59794235882939	1	4915.0	不	29.53333333333333	0.0	75.59794235882939	0.0
33	3990	292	好	a	ADJ	a	ADJ		2	2	2	253	43.266666666666666	76.73110335595483	1	1325.0	好	43.266666666666666	0.0	76.73110335595483	0.0
34	3991	292	的	u	PART	uj	PART		3	1	3	13	76.73333333333333	124.76936946043912	1	77946.0	的	54.53333333333333	22.2	86.53775027248064	53.33941631976613
35	3992	292	植物。	n	NOUN	n	NOUN	NN	4	4	1	228	160.13333333333333	155.61142488762047	2	212.0	植物	139.46666666666667	20.666666666666668	130.6648979472129	53.47481234708127
36	3993	293	因此，	c	CCONJ	c	CCONJ		5	5	1	159	211.2	216.0889323095162	2	776.0	因此	109.46666666666668	52.46666666666667	102.73387410629898	101.5039353369557
37	3994	293	好	a	ADJ	a	ADJ		2	1	2	253	152.86666666666667	150.8870953910756	1	1325.0	好	125.26666666666668	27.6	115.80412581404669	72.6056012531632
38	3995	293	种子	n	NOUN	n	NOUN	NN	1	1	1	298	456.4666666666666	386.7041705949854	2	88.00000000000001	种子	138.53333333333333	128.13333333333333	96.26135719430144	103.74254457817946
