	WORD	SENTENCE	IA_LABEL	TOTAL_DURATION	STD_TOTAL_DURATION	n_in_sent	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	N_SYL	Freq	pure_token	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
2193	2235	125	間	74.2	75.03705751160555	9	NOUN	NOUN	zg	NOUN	NNB	4	2	4	24	1	643.15233	間	72.46666666666667	1.7333333333333334	74.30196647614531	6.485539470408163
2194	2236	125	好	38.266666666666666	78.97887199892274	10	ADV	ADV	a	ADV	RB	5	1	4	312	1	10788.64225	好	38.266666666666666	0.0	78.97887199892274	0.0
2195	2237	125	別緻	373.2	294.91381791974413	11	ADJ	ADJ	-	ADJ	JJ	6	5	3	17	2	0.0	別緻	188.3333333333333	104.66666666666669	124.7913814687893	142.8788142292466
2196	2238	125	嘅	121.6	126.7105888761209	12	PART	PART	x	PART		7	1	4	1	1	15735.49004	嘅	102.0	9.266666666666667	101.60971082201412	34.67269178410518
2197	2239	125	粉紅	150.93333333333334	184.7710174483241	13	NOUN	NOUN	b	NOUN	NN	8	1	4	93	2	65.01926	粉紅	99.26666666666668	18.866666666666667	92.572470109759	39.00575456120403
2198	2240	125	色	83.0	110.547727249365	14	NOUN	NOUN	ng	NOUN		9	2	3	19	1	176.83583	色	83.0	0.0	110.547727249365	0.0
2199	2241	125	磚	195.53333333333333	270.70029347765563	15	NOUN	NOUN	x	NOUN		10	1	3	3	1	1.24241	磚	94.4	54.8	104.50888319500244	112.46581702899776
2200	2242	125	屋，	130.66666666666666	196.95775068667788	16	NOUN	NOUN	n	NOUN	NN	11	9	2	30	1	139.14951	屋	89.06666666666666	30.466666666666665	107.13571870399817	77.7113176370655
2201	2243	125	窗台	206.9333333333333	247.35708780806925	17	VERB	VERB	n	VERB		12	6	3	28	2	0.82827	窗台	103.13333333333334	88.0	80.36323095103188	166.74091679408906
2202	2244	125	前	203.7333333333333	248.9997233376419	18	ADV	ADV	f	ADV		13	1	5	80	1	490.75049	前	141.26666666666668	37.46666666666667	138.62153111580065	76.02531742050728
2203	2245	125	面	142.4	148.1543339449328	19	NOUN	NOUN	n	NOUN		14	1	4	96	1	398.81243	面	124.0	18.4	129.55719457701554	46.933712119683584
2204	2246	125	種	195.2	218.8001218768704	20	NOUN	NOUN	x	NOUN		15	3	3	17	1	144.11913	種	122.4	50.06666666666667	120.91197900401212	88.96925811137737
2205	2247	125	咗	29.066666666666663	98.57076420296006	21	PART	PART	x	PART	DEC	16	2	3	1	1	5130.30979	咗	18.53333333333333	10.533333333333331	59.4932675929713	39.412124474018846
2206	2248	125	好	81.0	101.08082574520914	22	ADV	ADV	a	ADV	RB	17	1	3	312	1	10788.64225	好	81.0	0.0	101.08082574520914	0.0
2207	2249	125	多	161.13333333333333	120.85521181240892	23	ADJ	ADJ	m	ADJ	JJ	18	6	2	121	1	2062.39447	多	137.13333333333333	24.0	100.61998917820566	61.18823416311342
2208	2250	125	洋葵花，	405.9333333333333	383.158186074049	24	NOUN	NOUN	-	NOUN		19	1	3	79	3	0.0	洋葵花	188.66666666666663	90.93333333333334	120.22904067745957	114.51373522663364
2209	2252	125	屋簷	120.0	170.00666653595283	25	NOUN	NOUN	n	NOUN	NN	21	3	2	30	2	0.0	屋簷	87.4	21.33333333333333	94.22795055962251	59.94182364778553
2210	2253	125	上	94.66666666666669	137.00397398940254	26	ADV	NOUN	f	NOUN		22	1	3	146	1	2231.77587	上	70.33333333333333	24.33333333333333	90.50500293108418	62.05982776500609
2211	2254	125	邊	141.4	142.04637740306276	27	PRON	PRON	x	PRON		23	1	2	93	1	432.77153	邊	105.86666666666666	35.53333333333333	91.76917904297838	90.60159429551386
2212	2255	125	仲有	142.73333333333332	109.9863425865028	28	VERB	VERB	v	VERB		24	24	1	564	2	625.75864	仲有	117.4	25.33333333333333	79.56950839779435	56.61291568381037
2213	2256	125	一竇竇	309.7333333333333	192.57880349497333	29	ADV	ADV	-	ADV		25	2	3	875	3	0.0	一竇竇	181.46666666666667	68.73333333333333	70.99846633711338	87.59791981294737
2214	2257	125	白鴿	297.46666666666664	175.93440696906208	30	NOUN	NOUN	nr	NOUN	NN	26	1	3	97	2	4.14135	白鴿	209.3333333333333	76.46666666666667	94.0054371949954	132.09787617100014
2215	2258	125	㖭」，	116.0	103.63204137717254	31	VERB	VERB	x	VERB		27	3	2	0	0	0.0		116.0	0.0	103.63204137717254	0.0
2216	2259	125	佢哋	69.2	100.6526701086464	32	PRON	PRON	-	PRON		28	4	2	2	2	0.0	佢哋	62.0	7.2	90.68847776867796	26.93993318477238
2217	2260	125	完全	170.2	116.13968601071151	33	ADV	ADV	ad	ADV	RB	29	3	2	243	2	561.98179	完全	156.53333333333333	13.666666666666666	120.73986729972648	51.13598428591055
2218	2261	125	唔	178.53333333333333	235.4507355879121	34	ADV	ADV	y	ADV		30	2	2	45	1	13258.13186	唔	126.26666666666668	23.666666666666668	96.3074705767361	88.55255815364993
2219	2262	125	會	88.46666666666667	141.19767073936535	35	AUX	AUX	zg	AUX	MD	31	1	2	177	1	4200.1616	會	63.53333333333333	24.933333333333334	86.00687311036381	85.35609071543881
2220	2263	125	能夠	193.2	210.11844278882327	36	VERB	VERB	v	VERB		32	32	1	62	2	150.7453	能夠	118.46666666666668	43.333333333333336	93.49428978404094	84.1567320869552
2221	2264	125	想像	129.53333333333333	153.9921498720705	37	VERB	VERB	v	VERB	VV	33	5	3	92	2	86.96844	想像	98.6	11.2	88.06876101471319	41.90656273186814
2222	2265	125	到	12.733333333333333	33.08668748740026	38	VERB	VERB	v	VERB	VV	34	1	4	67	1	9168.95856	到	12.733333333333333	0.0	33.08668748740026	0.0
2223	2266	125	嗰	13.666666666666666	51.13598428591055	39	PRON	PRON	x	PRON		35	1	6	1	1	2040.85943	嗰	13.666666666666666	0.0	51.13598428591055	0.0
2224	2267	125	間	53.73333333333333	91.49970248889092	40	NOUN	NOUN	zg	NOUN	NNB	36	1	5	24	1	643.15233	間	53.73333333333333	0.0	91.49970248889092	0.0
2225	2268	125	屋	113.33333333333331	135.21176806115	41	NOUN	NOUN	n	NOUN	NN	37	4	4	30	1	139.14951	屋	94.06666666666666	11.266666666666667	91.9996135257583	42.156006557653065
2226	2269	125	係	94.86666666666666	122.80709353381108	42	VERB	VERB	zg	VERB		38	6	2	6	1	22827.14525	係	94.86666666666666	0.0	122.80709353381108	0.0
2227	2270	125	咩	109.06666666666666	130.2968235308222	43	PRON	PRON	zg	PRON		39	1	4	1	1	4063.91104	咩	109.06666666666666	0.0	130.2968235308222	0.0
2228	2271	125	樣。	44.2	91.01809343934498	44	NOUN	NOUN	x	NOUN		40	2	3	36	1	375.20671	樣	34.266666666666666	9.933333333333334	69.58492812543693	37.16713004195448
2229	2272	126	你	22.33333333333333	57.47772515408807	0	PRON	PRON	r	PRON	PRP	3	3	1	142	1	18137.06144	你	22.33333333333333	0.0	57.47772515408807	0.0
2230	2273	126	一定	86.66666666666667	166.1861071877617	1	ADV	ADV	d	ADV	RB	2	2	1	909	2	908.19901	一定	60.266666666666666	26.4	92.0655322160374	98.77975501083203
2231	2274	126	要	100.26666666666668	154.03915808073685	2	AUX	AUX	v	AUX	MD	1	1	1	109	1	3311.42695	要	77.8	22.466666666666665	96.11742818032532	84.06256928952122
2232	2275	126	話：	60.06666666666667	102.86072568715858	3	VERB	VERB	x	VERB		0	0	0	35	1	3423.24352	話	54.86666666666667	5.2	91.99772944058034	19.456618411224493
2233	2276	126	「我	97.6	121.67322356760889	4	PRON	PRON	r	PRON	PRP	1	1	2	704	1	49930.23889	我	80.06666666666666	11.0	93.91305671855336	41.15823125451335
2234	2277	126	見	28.266666666666666	72.2739848693075	5	VERB	VERB	x	VERB	VV	2	2	1	44	1	2073.99027	見	28.266666666666666	0.0	72.2739848693075	0.0
2235	2278	126	到	128.86666666666667	182.48392318837904	6	PART	PART	v	PART		3	1	2	67	1	9168.95856	到	90.93333333333334	37.93333333333333	101.51746428844426	111.41541884117996
2236	2279	126	一	125.06666666666666	163.16636363608222	7	NUM	NUM	m	NUM	CD	4	1	4	871	1	4153.77843	一	104.33333333333331	11.733333333333333	115.23579690742322	43.90211333814758
2237	2280	126	間	30.73333333333333	63.195428807962216	8	NOUN	NOUN	zg	NOUN	NNB	5	5	3	24	1	643.15233	間	30.73333333333333	0.0	63.195428807962216	0.0
2238	2281	126	值	121.13333333333334	242.4609567653225	9	VERB	VERB	n	VERB		6	4	3	8	1	45.14076	值	63.73333333333333	26.53333333333333	112.4440404033145	69.70113979619623
2239	2282	126	成	163.13333333333333	156.16395942157146	10	NUM	NUM	n	NUM		7	1	4	182	1	383.90355	成	137.4	25.73333333333333	118.56744915869618	73.21517754005806
2240	2283	126	千萬	268.0	292.1435720098368	11	NUM	NUM	m	NUM	CD	8	2	4	78	2	19.46437	千萬	160.4	49.66666666666666	91.49630229322568	90.85201642720372
2241	2284	126	嘅	132.06666666666666	328.8658220139164	12	PART	PART	x	PART		9	1	3	1	1	15735.49004	嘅	57.6	24.73333333333333	69.58907960305267	92.5436593662088
2242	2285	126	屋	49.86666666666667	186.5839816871272	13	NOUN	NOUN	n	NOUN	NN	10	8	2	30	1	139.14951	屋	10.2	39.66666666666666	38.164905345094205	148.41907634203304
2243	2286	126	呀。」	22.33333333333333	57.25692583046663	14	PART	PART	y	INTJ		11	9	2	9	1	7850.76547	呀	22.33333333333333	0.0	57.25692583046663	0.0
2244	2287	127	噉	96.86666666666666	114.78203498612297	0	CCONJ	CCONJ	zg	CCONJ		5	1	2	3	1	0.41414	噉	88.53333333333333	8.333333333333334	99.137525129937	31.180478223116182
2245	2288	127	佢哋	213.46666666666667	255.21908671222496	1	PRON	PRON	-	PRON		4	4	1	2	2	0.0	佢哋	121.13333333333334	57.93333333333333	119.61932211069508	101.77522073449684
2246	2289	127	就會	99.6	148.01387322364974	2	ADV	ADV	-	ADV		3	3	1	272	2	28.16121	就會	75.93333333333334	11.266666666666667	94.8046881166163	29.508115644494968
2247	2290	127	恍然大悟	211.86666666666667	207.25503344644943	3	VERB	VERB	i	VERB		2	2	1	397	4	8.28271	恍然大悟	121.6	59.73333333333333	87.02244921091722	93.677792933485
2248	2291	127	噉	57.46666666666667	129.68827583435942	4	PRON	PRON	zg	PRON		1	1	2	3	1	0.41414	噉	57.46666666666667	0.0	129.68827583435942	0.0
2249	2292	127	驚嘆	205.0	222.2407103420373	5	VERB	VERB	v	VERB		0	0	0	60	2	3.31308	驚嘆	142.33333333333334	49.46666666666667	123.0391085071012	102.9568625957277
2250	2293	127	一	13.4	37.08332958801479	6	NUM	NUM	m	NUM	CD	1	1	2	871	1	4153.77843	一	13.4	0.0	37.08332958801479	0.0
2251	2294	127	聲：	11.066666666666666	31.441939436929708	7	NOUN	NOUN	x	NOUN	NN	2	2	1	61	1	663.8591	聲	11.066666666666666	0.0	31.441939436929708	0.0
2252	2295	127	「嘩，	7.0	26.19160170741759	8	INTJ	INTJ	x	INTJ		3	7	2	8	1	282.8545	嘩	7.0	0.0	26.19160170741759	0.0
2253	2296	127	噉	206.13333333333333	176.6940356158697	9	CCONJ	CCONJ	zg	CCONJ		4	4	2	3	1	0.41414	噉	164.46666666666667	25.2	112.97661508274868	65.72893832501278
2254	2297	127	一定	158.86666666666667	115.96371079877628	10	ADV	ADV	d	ADV	RB	5	3	2	909	2	908.19901	一定	158.86666666666667	0.0	115.96371079877628	0.0
2255	2298	127	好	15.666666666666666	39.97610397336	11	ADV	ADV	a	ADV	RB	6	2	2	312	1	10788.64225	好	15.666666666666666	0.0	39.97610397336	0.0
2256	2299	127	靚	26.0	67.65008006893513	12	ADJ	ADJ	x	ADJ		7	1	2	18	1	168.13899	靚	26.0	0.0	67.65008006893513	0.0
2257	2300	127	喇！」	118.2	135.79651443734974	13	PART	PART	n	PART	SFN	8	8	1	24	1	2051.62695	喇	118.2	0.0	135.79651443734974	0.0
2258	2301	128	如果	262.06666666666666	159.6615030480283	0	CCONJ	CCONJ	c	CCONJ		5	5	1	163	2	1342.21295	如果	153.13333333333333	79.66666666666667	59.78836750479886	111.58653841550762
2259	2302	128	你	116.8	194.71524508026243	1	PRON	PRON	r	PRON	PRP	4	4	1	142	1	18137.06144	你	99.06666666666666	17.733333333333334	180.72796008242764	66.35205765879122
2260	2303	128	同	165.53333333333333	303.842473806558	2	ADP	ADP	p	ADP	IN	3	2	2	536	1	4553.41912	同	118.26666666666668	26.933333333333334	185.21787770683	69.65387442362572
2261	2304	128	啲	187.06666666666663	143.966878906998	3	NOUN	DET	zg	DET		2	1	2	1	1	4209.68671	啲	177.26666666666668	9.8	133.19432754021054	36.66824239038464
2262	2305	128	大人	154.86666666666667	163.4951035624275	4	NOUN	NOUN	n	NOUN	NN	1	1	1	655	2	61.70618	大人	83.13333333333334	71.73333333333333	69.60063856667473	113.83465592203846
