	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
3974	4030	226	會	AUX	AUX	zg	AUX	MD	1	1	1	177	213.86666666666667	187.95384776292528	6.053255558013916	3.354510545730591	1	4200.1616	0.046979865771812	149	14767.65553	1	False	False	144.8	56.0	105.88182091369605	97.33310502256327
3975	4031	226	生	VERB	VERB	vn	VERB	VV	0	0	0	108	224.6	229.86744006057057	9.009764671325684	7.333012104034424	1	232.74412	0.0536912751677852	149	4200.1616	1	False	False	153.46666666666667	60.66666666666666	85.871117897049	141.16782762214467
3976	4032	226	刺	NOUN	NOUN	v	NOUN	NN	1	1	2	21	266.8	241.59503306152632	19.255788803100582	16.273725509643555	1	21.53504	0.0604026845637583	149	232.74412	1	False	False	161.4	94.6	126.84205401469444	176.06468508287892
3977	4033	226	出嚟	VERB	VERB	-	VERB	VV	2	2	1	225	207.06666666666663	213.30243526244348	13.17963981628418	11.494434118270874	2	669.657	0.0671140939597315	149	21.53504	1	False	False	133.66666666666666	73.4	138.68317209460642	133.30206299979008
3978	4034	226	。	PUNCT	PUNCT	x	PUNCT	.	3	3	1	0	65.4	132.83965271459172	3.870206832885742	1.5241528749465942	0	0.0	0.0738255033557047	149	669.657	2	False	False	55.6	9.8	112.98660687591838	36.66824239038464
3979	4035	226	但係	CCONJ	CCONJ	-	CCONJ		4	3	4	65	178.0	258.7263676808634	14.331355571746826	8.903472304344177	2	1965.48678	0.0805369127516778	149	0.0	0	False	False	89.8	59.4	106.6509571765142	102.07435198586045
3980	4036	226	幾	ADV	ADV	zg	ADV		5	2	4	269	208.7333333333333	214.92648872476272	7.265947818756103	7.63809871673584	1	809.63478	0.087248322147651	149	1965.48678	2	False	False	134.33333333333334	57.266666666666666	114.8190847473634	93.78803524733608
3981	4037	226	百萬	NUM	NUM	m	NUM		6	1	4	91	385.8	473.7954833047694	0.30613599345088	0.5644594430923462	2	0.0	0.0939597315436241	149	809.63478	1	False	False	156.73333333333332	51.266666666666666	66.75773779537137	89.03217895170762
3982	4038	226	年	NOUN	NOUN	m	NOUN	NNB	7	1	3	37	62.4	83.89978148561134	0.0162447933107614	0.1298868060111999	1	458.86206	0.1006711409395973	149	0.0	2	False	False	62.4	0.0	83.89978148561134	0.0
3983	4039	226	嚟	NUM	NUM	zg	NUM		8	15	2	2	77.2	109.83090032712408	0.2254458665847778	2.2544174194335938	1	3001.65364	0.1073825503355704	149	458.86206	1	False	False	54.6	22.6	68.72825716787335	58.68537580465285
