	WORD	SENTENCE	IA_LABEL	pos	upos	jpos	upos*	xpos	LD2ROOT	LD2HEAD	DEPTH2ROOT	Neighbors_Num	TOTAL_DURATION	STD_TOTAL_DURATION	Sp_clue	Sp_jed351	N_SYL	Freq	Word_Position	Lengths	Prev_Freq	Prev_N_SYL	Pre_Punct	Post_Punct	IA_FIRST_FIXATION_DURATION	IA_SECOND_FIXATION_DURATION	STD_IA_FIRST_FIXATION_DURATION	STD_IA_SECOND_FIXATION_DURATION
4014	1433	81	太	ADV	ADV	d	ADV	RB	20	1	3	111	136.33333333333334	137.90512036259648	10.360451698303224	9.88097095489502	1	484.9526	0.7096774193548387	31	2901.43287	1	False	False	105.26666666666668	31.066666666666663	97.5858368594314	79.25862028125955
4015	1434	81	複雜	ADJ	ADJ	-	ADJ	JJ	21	6	2	20	86.33333333333333	122.26401305735423	10.341519117355348	11.218841552734377	2	26.09053	0.7419354838709677	31	484.9526	1	False	False	70.6	15.733333333333333	87.35811353274521	58.86874288524334
4016	1435	81	），佢	PRON	PRON	x	PRON		22	1	2	1	160.2	226.4894993886766	12.105278253555298	9.21579098701477	1	21111.38214	0.7741935483870968	31	26.09053	2	True	False	91.0	49.13333333333333	116.75958204789876	94.99253771861356
4017	1436	81	問	VERB	VERB	zg	VERB	VV	23	23	1	123	134.73333333333332	165.82861299814604	7.947699069976807	13.649693489074709	1	721.00979	0.8064516129032258	31	21111.38214	1	False	False	107.2	27.53333333333333	128.44983456587244	61.50649468868218
4018	1437	81	我	PRON	PRON	r	PRON	PRP	24	1	2	704	67.33333333333333	123.36378002567132	1.736158013343811	6.268075466156006	1	49930.23889	0.8387096774193549	31	721.00979	1	False	False	40.93333333333333	26.4	70.83545879164066	69.19807319090131
4019	1438	81	：「呢	PART	PRON	y	PRON		25	1	4	14	141.73333333333332	124.8815260779414	19.550593614578247	18.90469431877136	1	5998.7518	0.8709677419354839	31	49930.23889	1	True	False	109.86666666666666	18.866666666666667	87.24820278314556	46.63170118659146
4020	1439	81	個	NOUN	DET	zg	DET	NNB	26	1	3	175	85.2	95.71429708599791	4.526607990264893	2.007568597793579	1	6956.23292	0.9032258064516128	31	5998.7518	1	False	False	70.26666666666667	14.933333333333334	78.02176334559195	39.61728018035676
4021	1440	81	係	VERB	VERB	zg	VERB		27	4	2	6	32.6	85.99984496110055	5.597102165222168	5.879908561706543	1	22827.14525	0.935483870967742	31	6956.23292	1	False	False	22.266666666666666	10.333333333333334	57.10746205376512	38.66379299666405
4022	1441	81	乜東東	PROPN	PROPN	nr	PROPN		28	1	3	124	352.93333333333334	121.8679431005363	23.545189380645752	29.29076147079468	3	0.82827	0.967741935483871	31	22827.14525	1	False	False	240.26666666666668	98.4	100.03430522686816	94.00978672457458
4023	1442	81	嚟	NOUN	NOUN	zg	NOUN		29	6	2	2	79.4	184.12452308152763	7.063582420349121	9.381787300109863	1	3001.65364	1.0	31	0.82827	3	False	False	35.93333333333333	43.46666666666667	73.52683561500221	116.56578495520124
4024	1443	82	？」 「呢	PART	PRON	y	PRON		13	1	3	14	637.0	461.0874103681427	40.94194483757019	32.37913274765015	1	5998.7518	0.0769230769230769	13	-1.0	-1	True	False	185.26666666666668	182.2	149.11045868378548	105.75203701741792
4025	1444	82	架	NOUN	DET	q	DET	NNB	12	2	2	24	719.8	569.9672739143305	17.42174530029297	11.044347763061523	1	1748.06568	0.1538461538461538	13	5998.7518	1	False	False	240.13333333333333	160.2	102.70012441840348	113.59765255790572
4026	1445	82	唔	ADV	ADV	y	ADV		11	1	2	45	559.1333333333333	450.1008578332441	10.056781768798828	11.251801490783691	1	13258.13186	0.2307692307692307	13	1748.06568	1	False	False	212.53333333333333	167.6	114.38989854392253	181.9772146909241
4027	1446	82	係	VERB	VERB	zg	VERB		10	10	1	6	585.8666666666667	541.6315927106009	5.193160057067871	0.8727183938026428	1	22827.14525	0.3076923076923077	13	13258.13186	1	False	False	145.73333333333332	135.93333333333334	95.70682084133584	116.44023741339969
4028	1447	82	乜東東	PRON	PRON	nr	PRON		9	1	2	124	1150.2666666666669	750.4027777726366	27.652299404144287	27.50132846832276	3	0.82827	0.3846153846153846	13	22827.14525	1	False	False	148.0	180.0	39.55249676063447	66.3264653060903
4029	1448	82	。佢	PRON	PRON	x	PRON		6	1	2	1	773.1333333333333	795.7462632997755	8.661850929260254	12.65963077545166	1	21111.38214	0.4615384615384615	13	0.82827	3	True	False	167.86666666666667	157.4	81.42552152461509	130.2007680468898
4030	1449	82	識	VERB	VERB	zg	VERB		5	5	1	49	414.8	260.16768951325736	12.739028930664062	11.364038467407228	1	618.30421	0.5384615384615384	13	21111.38214	1	False	False	225.46666666666667	122.06666666666666	139.41538254041012	92.0249724561521
4031	1450	82	得	PART	PART	ud	PART	DEV	4	1	2	80	277.53333333333336	396.15196859566686	6.280266284942627	4.1154608726501465	1	2885.28159	0.6153846153846154	13	618.30421	1	False	False	165.26666666666668	18.466666666666665	132.5435609735741	47.0982896599111
4032	1451	82	飛	VERB	VERB	x	VERB	VV	3	2	2	77	54.46666666666667	148.03732262132036	14.635967254638672	9.568571090698242	1	171.86621	0.6923076923076923	13	2885.28159	1	False	False	36.266666666666666	11.2	106.36758069177948	33.69708197059996
4033	1452	82	，係	VERB	VERB	zg	VERB		0	0	0	6	224.9333333333333	237.8874990877457	9.219802856445312	7.906789541244507	1	22827.14525	0.7692307692307693	13	171.86621	1	True	False	154.46666666666667	41.73333333333333	124.85824851495484	83.54118079659209
